day,hour,minute,relativeTime,70Q_WT_TIMESTAMP,70Q_WT_AVG,70Q_WT_SEM,70Q_WT_QRT,70Q_WT_SAMPLES,70Q_WT_70Q_WT8,70Q_WT_70Q_WT6,70Q_WT_70Q_WT5,70Q_WT_70Q_WT4,70Q_WT_70Q_WT3,70Q_WT_70Q_WT2,70Q_WT_70Q_WT14,70Q_WT_70Q_WT10,70Q_WT_70Q_WT1
0,0,0,0,2024-11-01T07:00:00.000+0100,1.4381153656250616,1.6248614262190455,"[0.0,0.48724162596813175,0.7081693436868417,2.0838504178042525,5.121145504615348,0.0,2.6789112269380326]",10672,0.7081693436868417,5.121145504615348,0.0,0.4700150102234987,0.8683473389355744,0.5253578224538761,0.48724162596813175,2.0838504178042525,2.6789112269380326
0,0,5,300,2024-11-01T07:05:00.000+0100,1.9455046412835202,1.3447505985172428,"[0.0,1.2816603434622793,1.708742568757461,2.1390750392984197,4.35237386093678,0.0,2.1390750392984197]",10666,1.5777281376685697,1.708742568757461,0.0,1.2816603434622793,2.1390750392984197,4.35237386093678,0.7853162163506991,2.025966504745358,3.6386791003321157
0,0,10,600,2024-11-01T07:10:00.000+0100,1.4733021115660028,1.3197582318381949,"[0.0,0.056022408963585436,1.2405595149452187,2.4120660922596886,3.2258979541183566,0.0,3.2258979541183566]",10689,1.2405595149452187,3.2258979541183566,0.0,0.056022408963585436,0.9529719060620028,2.4120660922596886,2.122665026384797,0.04213499745889917,3.2074011039014763
0,0,15,900,2024-11-01T07:15:00.000+0100,1.1133600181751089,1.228302502755661,"[0.0,0.0,0.6094800789514118,1.9640936543393728,3.513840135210203,0.0,3.513840135210203]",10696,1.4153931614840027,2.118273469725443,0.0,0.0,1.9640936543393728,0.6094800789514118,3.513840135210203,0.0,0.3991596638655462
0,0,20,1200,2024-11-01T07:20:00.000+0100,1.0017715478127491,1.1870934006129734,"[0.0,0.0,0.8128863359689866,1.6607866775402145,2.979381626068149,0.0,2.979381626068149]",10697,0.8128863359689866,2.979381626068149,0.0,0.0,1.6607866775402145,0.8696769847179379,2.693212306019454,0.0,0.0
0,0,25,1500,2024-11-01T07:25:00.000+0100,1.0837138418424095,1.3860943741574392,"[0.0,0.0,0.8068881561063244,1.1768547081279768,3.432702194801972,0.0,1.1768547081279768]",10696,0.8068881561063244,1.0032029689512936,0.0,0.0,3.333776548594121,1.1768547081279768,3.432702194801972,0.0,0.0
0,0,30,1800,2024-11-01T07:30:00.000+0100,0.7944288826641769,1.0405115347722018,"[0.0,0.0,0.23836116725171083,1.9347232563911643,2.353207105627061,0.0,2.353207105627061]",10695,0.23836116725171083,2.1955997588908986,0.0,0.0,1.9347232563911643,0.42796865581675714,2.353207105627061,0.0,0.0
0,0,35,2100,2024-11-01T07:35:00.000+0100,1.0624329431725807,1.9169710482185545,"[0.0,0.0,0.007032348804500703,1.360227635357941,5.555555555555555,0.0,2.6157382784337364]",9747,0.007032348804500703,2.6157382784337364,0.0,0.0,1.360227635357941,0.02334267040149393,5.555555555555555,0.0,0.0
0,0,40,2400,2024-11-01T07:40:00.000+0100,0.5945584985048872,0.9820403563691413,"[0.0,0.0,0.0,0.9404436880237327,2.6149109432802655,0.0,1.7816662529990897]",10696,0.0,1.7816662529990897,0.0,0.014005602240896359,2.6149109432802655,0.0,0.9404436880237327,0.0,0.0
0,0,45,2700,2024-11-01T07:45:00.000+0100,0.6865043251243299,1.3967444868971868,"[0.0,0.0,0.0,0.19607843137254904,3.9698495431928036,0.0,0.19607843137254904]",10697,0.0,2.0126109515536172,0.19607843137254904,0.0,3.9698495431928036,0.0,0.0,0.0,0.0
